Optimal height: 3, f1Test = 0,992281, f1Train = 0,963856
Using random forest: f1Test = 0,742540, f1Train = 1,000000

Set 7, h = 0, f1Test = 0,556078, f1Train = 0,529412
Set 7, h = 1, f1Test = 0,765839, f1Train = 0,730930
Set 7, h = 2, f1Test = 0,902926, f1Train = 0,868660
Set 7, h = 3, f1Test = 0,995370, f1Train = 0,963358
Set 7, h = 4, f1Test = 0,989155, f1Train = 0,964697
Set 7, h = 5, f1Test = 0,984560, f1Train = 0,965887
Set 7, h = 6, f1Test = 0,979852, f1Train = 0,967413
Set 7, h = 7, f1Test = 0,975698, f1Train = 0,969526
Set 7, h = 8, f1Test = 0,974586, f1Train = 0,971686
Set 7, h = 9, f1Test = 0,966723, f1Train = 0,972964
Set 7, h = 10, f1Test = 0,957456, f1Train = 0,974847
Set 7, h = 11, f1Test = 0,957689, f1Train = 0,977509
Set 7, h = 12, f1Test = 0,955546, f1Train = 0,979472
Set 7, h = 13, f1Test = 0,949907, f1Train = 0,981207
Set 7, h = 14, f1Test = 0,943264, f1Train = 0,983261
Set 7, h = 15, f1Test = 0,940067, f1Train = 0,986612
Set 7, h = 16, f1Test = 0,936401, f1Train = 0,989256
Set 7, h = 17, f1Test = 0,932351, f1Train = 0,991000
Set 7, h = 18, f1Test = 0,931432, f1Train = 0,993196
Set 7, h = 19, f1Test = 0,926890, f1Train = 0,995088
Set 7, h = 20, f1Test = 0,926890, f1Train = 0,996822
Set 7, h = 21, f1Test = 0,922765, f1Train = 0,997732
Set 7, h = 22, f1Test = 0,922765, f1Train = 0,998194
Set 7, h = 23, f1Test = 0,922081, f1Train = 0,998633
Set 7, h = 24, f1Test = 0,922081, f1Train = 0,999073
Set 7, h = 25, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 26, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 27, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 28, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 29, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 30, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 31, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 32, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 33, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 34, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 35, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 36, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 37, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 38, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 39, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 40, f1Test = 0,922081, f1Train = 1,000000
